#List - Depth of Reading below Surface - Latest @ 2022-02-02 11:26 (UTC-07:00),,,,,,
Data Set Id,Location,Location Folder,Start of Record,End of Record,Value,Status
Well Depth.well@14-064-19bcc,Laramie County No. 9,All Locations.Ground Water.Laramie County,1977-06-07 19:00:00,2013-10-02 23:48:00,-104.59722,-
Well Depth.well@16-61-03bdd,Lundberg #2,All Locations.Ground Water.Laramie County,1990-04-04 15:00:00,2004-03-09 15:00:00,-104.187,-
Well Depth.well@17-60-28ccc02,Holgerson No. 5,All Locations.Ground Water.Laramie County,1997-03-10 07:00:00,2004-03-11 07:00:00,-104.092,-
Well Depth.Well@17-67-33baa,MX NORTH b-1,All Locations.Ground Water.Laramie County,1984-09-26 19:00:00,2016-09-07 21:00:00,-104.89417,-
Well Depth.Well@32-73-16cbd,Natural Bridge,All Locations.Ground Water.Gillette Area,1986-11-06 19:00:00,2017-11-06 14:00:00,-105.611667,-
Well Depth.Well@48-73-36bca02,CBM-MON-3W (Tripp),All Locations.Ground Water.Gillette Area,1998-12-13 07:11:00,2016-06-06 23:00:00,-105.58278,-
Well Depth.Well@49-72-11abc,Winland Park No. 1,All Locations.Ground Water.Gillette Area,1985-08-13 07:00:00,2007-04-05 22:16:00,-105.47917,-
Well Depth.Well@50-72-21dda,G-MON-4 (Old Fair Ground),All Locations.Ground Water.Gillette Area,1994-10-13 20:00:00,2019-05-22 20:00:00,-105.51167,-
Well Depth.well@12-062-13baa,USGS SE Carpenter,All Locations.Ground Water.Laramie County,1975-09-22 07:00:00,2021-11-03 08:00:00,-104.2675,-
Well Depth.well@14-067-18ddc,Bell #14,All Locations.Ground Water.Laramie County,1962-10-24 19:00:00,2004-02-13 19:00:00,-104.92778,-
Well Depth.Historical.Calculated DTW@24-68-32ddc,Platte County #9,All Locations.Ground Water.Platte County,2015-04-01 22:00:00,2016-12-20 16:00:00,-105.02667,-
Well Depth.Well@26-68-35dac,"Joe Johnson,Jr No. 1 Well",All Locations.Ground Water.Platte County,1979-04-18 07:00:00,2004-03-11 19:00:00,-104.97083,-
Well Depth.Well@32-63-08daa01,Niobrara Co. No.2,All Locations.Ground Water.Prairie Center Control Area,2000-09-19 02:00:00,2016-06-13 23:00:00,-104.437876,-
Well Depth.Well11@Test,Test,All Locations.Ground Water.Test,1983-11-15 19:00:00,2011-05-15 11:00:00,0,-
Well Depth.well@12-63-15aa,USGS SW Carpenter,All Locations.Ground Water.Laramie County,1973-07-01 07:00:00,2021-11-03 09:00:00,-104.40889,-
Well Depth.Well@48-73-36bca01,CBM-MON-3C (Tripp),All Locations.Ground Water.Gillette Area,1998-12-16 01:00:00,2013-11-05 22:00:00,-105.58278,-
Well Depth.well@15-68-27ccc,MX West B7,All Locations.Ground Water.Laramie County,1984-09-26 19:00:00,2016-05-19 21:00:00,-105.002108,-
Well Depth.Aquifer Test@16-60-32 dc 01,Fornstrom Fox Hills,All Locations.Ground Water.Laramie County,2015-09-15 20:45:00,2015-09-28 20:38:00,-104.10713,-
Well Depth.USGS S Albin.csv depth below LSD@17-060-33cbb,USGS South Albin,All Locations.Ground Water.Laramie County,1975-05-30 07:00:00,2016-09-06 19:00:00,-104.09194,-
Well Depth.Well@25-067-19dda,Ed Wilhelm,All Locations.Ground Water.Platte County,1979-06-13 19:00:00,2021-11-08 11:00:00,-104.9275,-
Well Depth.Well@42-116-20dcc,TCTD-5,All Locations.Ground Water.Teton County,1994-10-20 19:00:00,2004-11-17 01:00:00,-110.79139,-
Well Depth.Well@42-117-25ddd,TCTC-6,All Locations.Ground Water.Teton County,1994-09-23 19:00:00,2003-06-25 19:00:00,-110.83861,-
Well Depth.Well@43-95-18cba,GTW-1,All Locations.Ground Water.Hot Springs County,1983-05-10 19:00:00,2007-11-27 20:00:00,-108.30917,-
Well Depth.well@15-67-36cd,WYDOT Horse Creek #1,All Locations.Ground Water.Laramie County,2000-05-11 19:00:00,2013-10-02 16:20:00,-104.83942,-
Well Depth.well@16-61-01cdd,Ada Lerwick No. 2 Well,All Locations.Ground Water.Laramie County,1990-05-01 07:00:00,2004-03-09 07:00:00,-104.14583,-
Well Depth.well@17-61-35dbd,Gerald No. 2 Well,All Locations.Ground Water.Laramie County,1992-04-06 07:00:00,2004-03-09 07:00:00,-104.15496,-
Well Depth.Well@41-117-13aba,TCTB-2,All Locations.Ground Water.Teton County,1994-09-23 19:00:00,2004-11-17 16:10:00,-110.8275,-
Well Depth.Well@41-117-13baa,TCTB-10,All Locations.Ground Water.Teton County,1994-10-20 19:00:00,2004-06-10 14:10:00,-110.83389,-
Well Depth.Well@43-95-25cdc,GTW-3,All Locations.Ground Water.Hot Springs County,1983-06-22 19:00:00,2013-07-18 14:00:00,-108.20528,-
Well Depth.Well@49-71-17bbc,Sleepy Hollow No. 3,All Locations.Ground Water.Gillette Area,1985-08-15 07:00:00,2013-11-05 19:00:00,-105.43694,-
Well Depth.Well@50-71-31aba,Fox Park No. 1,All Locations.Ground Water.Gillette Area,1985-08-14 07:00:00,2013-11-05 19:00:00,-105.43444,-
Well Depth.well@16-61-11aac,Dennis No. 1 Well,All Locations.Ground Water.Laramie County,1990-05-01 19:00:00,2004-03-09 15:00:00,-104.12222,-
Well Depth.well@17-60-33acc,Malm Sec. 33-3,All Locations.Ground Water.Laramie County,1997-03-10 15:00:00,2004-03-11 15:00:00,-104.082,-
Well Depth.well@17-62-19da,Deselms #8,All Locations.Ground Water.Laramie County,2002-05-03 07:00:00,2004-03-11 07:00:00,-104.349,-
Well Depth.well@20-61-25cbc2,Pump House #2,All Locations.Ground Water.Lagrange Area,1980-04-30 07:00:00,2013-11-14 07:00:00,-104.14907,-
Well Depth.Well@27-69-25dad,Cottonwood Creek No. 3,All Locations.Ground Water.Platte County,1988-03-10 20:00:00,2013-10-09 21:39:00,-105.18361,-
Well Depth.Well@41-117-11acd,TCTB-7(ASP1),All Locations.Ground Water.Teton County,1995-01-26 01:00:00,2003-11-19 19:00:00,-110.84833,-
Well Depth.Well@41-117-13acc,TCTB-3,All Locations.Ground Water.Teton County,1994-09-23 19:00:00,2004-06-10 15:10:00,-110.83139,-
Well Depth.Well@41-117-22dbc,TCTA-5,All Locations.Ground Water.Teton County,1994-10-20 19:00:00,2004-11-15 18:10:00,-110.87056,-
Well Depth.Well@50-72-32dbb,Westridge/Wenger No.2,All Locations.Ground Water.Gillette Area,1985-09-24 07:00:00,2008-07-10 18:00:00,-105.54,-
Well Depth.Well@51-72-17ccb,Prospector Village No. 2,All Locations.Ground Water.Gillette Area,1985-10-17 07:00:00,2013-11-05 19:00:00,-105.54694,-
Well Depth.Well3@Test,Test,All Locations.Ground Water.Test,1983-11-15 19:00:00,1984-01-04 19:00:00,0,-
Well Depth.well@13-64-16cc,Laramie County No. 18,All Locations.Ground Water.Laramie County,2004-08-13 17:46:00,2015-06-18 17:00:00,-104.5605,-
Well Depth.Aquifer Test@16-61-26 CD-02,Scheel WSW No. 1 Fox Hills,All Locations.Ground Water.Laramie County,2016-10-07 20:29:00,2016-10-17 19:17:00,-104.17006,-
Well Depth.Well@18-83-21abd,Dot No. 2,All Locations.Ground Water.Carbon County,1999-05-04 19:00:00,2004-08-06 22:00:00,-106.72139,-
Well Depth.well@20-61-32dbc,J. Ward,All Locations.Ground Water.Lagrange Area,1978-06-05 07:00:00,2013-11-14 07:00:00,-104.2173,-
Well Depth.Well@26-68-23dcd,Juschka No. 2 Well,All Locations.Ground Water.Platte County,1980-04-09 07:00:00,2004-03-11 19:00:00,-104.97111,-
Well Depth.Well@26-68-31aaa,Platte County #7,All Locations.Ground Water.Platte County,1979-12-18 19:00:00,2021-11-08 10:00:00,-105.04556,-
Well Depth.Well@41-117-27cbc,TC-4,All Locations.Ground Water.Teton County,1997-09-18 19:00:00,2004-11-15 21:10:00,-110.87639,-
Well Depth.Well@48-65-35ccb,Upton #4,All Locations.Ground Water.Madison,2004-06-29 19:00:00,2013-06-18 19:30:00,-104.63692,-
Well Depth.Well@49-72-13caa,Antelope Valley No.3,All Locations.Ground Water.Gillette Area,1985-08-15 19:00:00,2012-02-20 17:48:00,-105.46472,-
Well Depth.Well@56-067-28aab,Cole 41A  Minnelusa,All Locations.Ground Water.Madison,1983-06-08 19:00:00,2016-06-15 20:00:00,-104.89567,-
Well Depth.well@14-067-34bbc,Laramie County No. 11,All Locations.Ground Water.Laramie County,1986-04-01 19:00:00,2016-09-07 16:00:00,-104.88444,-
Well Depth.well@14-66-08cbc,Rowley #1,All Locations.Ground Water.Laramie County,2003-04-22 19:00:00,2013-10-02 20:30:00,-104.8085,-
Well Depth.Datalogged@16-61-26 CD-02,Scheel WSW No. 1 Fox Hills,All Locations.Ground Water.Laramie County,2016-10-07 20:29:00,2016-10-07 20:29:00,-104.17006,-
Well Depth.well@17-60-35,Malm PR-Wyo 1,All Locations.Ground Water.Laramie County,1998-02-23 15:00:00,2004-03-11 15:00:00,-104.053,-
Well Depth.Well@28-62-18cac,SandStone #1,All Locations.Ground Water.Madison,1995-06-15 22:00:00,2017-06-05 15:00:00,-104.35633,-
Well Depth.Well@41-117-26bcc,TCTE-1,All Locations.Ground Water.Teton County,1995-08-04 16:00:00,2004-11-15 20:10:00,-110.85917,-
Well Depth.Well@42-116-31bdd,TCTC-2,All Locations.Ground Water.Teton County,1994-09-23 19:00:00,2004-06-09 21:10:00,-110.81278,-
Well Depth.Well@46-74-12ccc02,CBM-MON-5W (Barrett),All Locations.Ground Water.Gillette Area,1999-10-22 18:00:00,2017-03-23 18:00:00,-105.7075,-
Well Depth.Well@49-72-06cdd,Rocky Point No. 1,All Locations.Ground Water.Gillette Area,1985-09-24 07:00:00,2013-12-03 19:00:00,-105.56111,-
Well Depth.Well@50-72-14caa,H.V. Anderson No. 4,All Locations.Ground Water.Gillette Area,1985-08-14 07:00:00,2009-12-14 19:00:00,-105.48417,-
Well Depth.well@19-61-13baa,LaGrange Haystack,All Locations.Ground Water.Lagrange Area,1980-04-30 07:00:00,2017-11-22 13:00:00,-104.14014,-
Well Depth.well@20-61-22aad,SE Corner of Reservoir,All Locations.Ground Water.Lagrange Area,1980-05-29 07:00:00,2013-11-14 07:00:00,-104.16874,-
Well Depth.Well@24-68-20bbb,Platte County #8,All Locations.Ground Water.Platte County,1991-08-14 22:00:00,2021-11-08 10:00:00,-105.04472,-
Well Depth.Well@26-68-23bbd,Juschka No. 5 Well,All Locations.Ground Water.Platte County,1979-04-18 07:00:00,2004-03-11 19:00:00,-104.98417,-
Well Depth.Well@26-68-26bbc,Shepard No. 1 Well,All Locations.Ground Water.Platte County,1991-04-22 07:00:00,1996-04-10 07:00:00,-104.97944,-
Well Depth.Well@41-117-22acc,TCTA-6,All Locations.Ground Water.Teton County,1994-10-20 19:00:00,2004-11-16 18:10:00,-110.87139,-
Well Depth.Well@41-117-22cda,TCTE-2,All Locations.Ground Water.Teton County,1995-10-06 20:00:00,2004-11-15 21:10:00,-110.87167,-
Well Depth.Well@46-74-12ccc01,CBM-MON-5 (Barrett),All Locations.Ground Water.Gillette Area,1999-10-22 21:00:00,2015-12-02 19:00:00,-105.7075,-
Well Depth.Well2@Test,Test,All Locations.Ground Water.Test,1983-11-15 19:00:00,1984-03-07 19:00:00,0,-
Well Depth.well@14-60-05bcb,CC Gross,All Locations.Ground Water.Laramie County,1962-08-17 07:00:00,2021-11-03 19:00:00,-104.1188889,-
Well Depth.well@15-73-01dba,Huntoon #1,All Locations.Ground Water.Albany County,1983-11-15 19:00:00,2021-11-22 13:00:00,-105.52417,-
Well Depth.well@17-60-34aaa,Lundberg No. 2 Well,All Locations.Ground Water.Laramie County,1990-05-01 07:00:00,2003-12-05 15:00:00,-104.058,-
Well Depth.well@20-61-23bdb2,Rain Station,All Locations.Ground Water.Lagrange Area,1978-12-02 07:00:00,2015-10-28 16:00:00,-104.16325,-
Well Depth.Well@47-73-16cba01,CBM-MON-4 (Davis),All Locations.Ground Water.Gillette Area,1998-12-16 01:00:00,2016-06-06 21:00:00,-105.64997,-
Well Depth.Well@49-72-13ada,G-MON-6 (Sleepy Hollow),All Locations.Ground Water.Gillette Area,1994-11-05 21:00:00,2019-05-22 18:00:00,-105.45056,-
Well Depth.Well@49-72-5ccc,G-MON-3 (Doud Well),All Locations.Ground Water.Gillette Area,1994-10-13 19:00:00,2017-11-06 22:00:00,-105.54861,-
Well Depth.Well@49-74-36ddc02,CBM-MON-1W (Saunders),All Locations.Ground Water.Gillette Area,1999-08-17 20:00:00,2013-08-08 16:00:00,-105.68806,-
Well Depth.Well@50-71-19dcb,Collins No. 1,All Locations.Ground Water.Gillette Area,1985-08-14 07:00:00,1996-08-19 07:00:00,-105.43694,-
Well Depth.well20@Test,Test,All Locations.Ground Water.Test,1983-11-15 19:00:00,2011-04-05 03:00:00,0,-
Well Depth.well@13-60-05ccb,Elmer Glantz,All Locations.Ground Water.Laramie County,2003-06-25 19:00:00,2016-10-11 19:00:00,-104.12066,-
Well Depth.well@14-066-10aba,Laramie County No. 8,All Locations.Ground Water.Laramie County,1977-06-13 19:00:00,2016-09-27 12:00:00,-104.75556,-
Well Depth.well@16-60-6dbd,Jessen #5,All Locations.Ground Water.Laramie County,1997-03-11 07:00:00,2004-03-09 07:00:00,-104.1235578,-
Well Depth.well@16-61-01baa,Wayne No. 2 Well,All Locations.Ground Water.Laramie County,1990-04-04 07:00:00,2004-03-09 07:00:00,-104.14583,-
Well Depth.well@17-61-35ddd,Gerald No. 3 Well,All Locations.Ground Water.Laramie County,1990-04-04 19:00:00,2004-03-09 15:00:00,-104.14583,-
Well Depth.Well@26-68-35bcc,Charlene Johnson,All Locations.Ground Water.Platte County,1981-04-08 07:00:00,2004-03-11 19:00:00,-104.99611,-
Well Depth.Well@41-117-23dab,TCTA-1,All Locations.Ground Water.Teton County,1994-09-23 19:00:00,2004-06-08 18:10:00,-110.84639,-
Well Depth.Well@49-72-03dad,Sunburst No. 2,All Locations.Ground Water.Gillette Area,1996-06-26 19:00:00,1999-10-21 17:00:00,-105.49417,-
Well Depth.Well@49-75-32abd,BTP 4975#8-32,All Locations.Ground Water.Gillette Area,1991-11-06 23:00:00,2010-07-15 18:03:00,-105.89556,-
Well Depth.Calculated@19-61-10aab,LaGrange No.1,All Locations.Ground Water.Lagrange Area,2014-11-05 21:00:00,2015-10-28 19:00:00,-104.17306,-
Well Depth.Depth to Water@13-65-10 ab 02,Shatto White River,All Locations.Ground Water.Laramie County,2014-11-18 17:30:00,2016-09-27 19:00:00,-104.64664,-
Well Depth.well@20-60-29bac2,Hill Well,All Locations.Ground Water.Lagrange Area,1980-04-30 07:00:00,2013-11-14 07:00:00,-104.10496,-
Well Depth.Well@24-68-32ddc,Platte County #9,All Locations.Ground Water.Platte County,1991-03-25 22:00:00,2021-11-08 08:15:00,-105.02667,-
Well Depth.Well@41-117-02daa,TCTR-2,All Locations.Ground Water.Teton County,1994-10-20 19:00:00,2004-11-17 18:00:00,-110.84306,-
Well Depth.Well@42-116-29cdc,TCTD-6,All Locations.Ground Water.Teton County,1994-10-20 19:00:00,2004-11-16 22:10:00,-110.79667,-
Well Depth.Well@42-117-36baa,TCTC-5,All Locations.Ground Water.Teton County,1994-09-23 19:00:00,2003-06-25 19:00:00,-110.83194,-
Well Depth.Well@53-61-32ddd01,CCMOW-5A (Minnelusa),All Locations.Ground Water.Madison,1991-11-01 21:00:00,2016-06-15 16:00:00,-104.19469,-
Well Depth.Well13@Test,Test,All Locations.Ground Water.Test,1983-11-15 19:00:00,2011-05-15 11:00:00,0,-
Well Depth.well@13-068-13ccc,Borie,All Locations.Ground Water.Laramie County,1942-07-01 07:00:00,2004-04-07 07:00:00,-104.96111,-
Well Depth.well@15-62-20aaa,Laramie County No. 4,All Locations.Ground Water.Laramie County,1978-04-10 19:00:00,2013-10-01 21:35:00,-104.32972,-
Well Depth.well@15-73-12dbb,Huntoon #2,All Locations.Ground Water.Albany County,1983-11-15 19:00:00,2021-11-22 13:00:00,-105.52861,-
Well Depth.Depth to Water In-Situ Transducer@16-60-32 dc 02,Fornstrom White River,All Locations.Ground Water.Laramie County,2015-09-15 21:00:00,2016-09-06 21:00:00,-104.10717,-
Well Depth.well@16-61-17aaa,Laramie County No. 5,All Locations.Ground Water.Laramie County,1978-04-11 19:00:00,2016-09-06 13:00:00,-104.21472,-
Well Depth.Well@18-84-25adc,Saratoga No. 5,All Locations.Ground Water.Carbon County,1999-06-04 19:00:00,2000-08-15 07:12:00,-106.7875,-
Well Depth.well@20-60-21ddd,CMeiers,All Locations.Ground Water.Lagrange Area,1980-04-30 07:00:00,2014-09-04 16:26:00,-104.18935,-
Well Depth.well@20-61-31dad,Ward's Yard,All Locations.Ground Water.Lagrange Area,1980-04-30 07:00:00,2013-11-14 07:00:00,-104.22767,-
Well Depth.Well@25-68-24aad,Platte County #3,All Locations.Ground Water.Platte County,1980-09-16 19:00:00,2015-06-02 19:00:00,-104.94722,-
Well Depth.Well@41-117-01add,TCTR-1,All Locations.Ground Water.Teton County,1994-10-20 19:00:00,2004-11-17 18:10:00,-110.82222,-
Well Depth.Well@44-63-26cac,Townsend WSW #1,All Locations.Ground Water.Madison,1982-03-16 19:00:00,2004-10-12 19:00:00,-104.39278,-
Well Depth.Well@49-62-36cbc02,CCMOW-6A (Minnelusa),All Locations.Ground Water.Madison,1994-10-11 22:00:00,2016-06-14 19:00:00,-104.25319,-
Well Depth.Well@51-72-32ddd,Campbell Co. Airport,All Locations.Ground Water.Gillette Area,1985-09-24 19:00:00,2013-11-05 19:00:00,-105.5325,-
Well Depth.well5@Test,Test,All Locations.Ground Water.Test,1983-11-15 19:00:00,2010-01-04 06:00:00,0,-
Well Depth.Field Visits@50-72-28ddb,G-MON-5 (Jail),All Locations.Ground Water.Gillette Area,2013-11-06 12:59:59,2021-11-18 11:50:00,-105.515,-
Well Depth.Field Visits@51-72-20abd,Rawhide Village No. 2,All Locations.Ground Water.Gillette Area,2013-06-13 11:33:59,2021-11-18 11:20:00,-105.53333,-
Well Depth.Field Visits@50-72-16bbb,G-MON-1 (Sports Bar),All Locations.Ground Water.Gillette Area,2013-11-13 12:00:00,2021-11-18 11:00:00,-105.52972,-
Well Depth.Field Visits@50-72-21dda,G-MON-4 (Old Fair Ground),All Locations.Ground Water.Gillette Area,2013-11-06 08:39:59,2021-11-18 10:05:00,-105.51167,-
Well Depth.Field Visits@50-72-24bcc,G-MON-2 (Warlow),All Locations.Ground Water.Gillette Area,2013-11-04 10:32:59,2021-11-18 12:30:00,-105.46917,-
Well Depth.Field Visits@50-72-25acb,CAMPLEX #1,All Locations.Ground Water.Gillette Area,2013-11-04 16:15:59,2021-11-17 18:15:00,-105.457778,-
Well Depth.Field Visits@49-72-13ada,G-MON-6 (Sleepy Hollow),All Locations.Ground Water.Gillette Area,2013-11-04 15:17:59,2021-11-17 18:00:00,-105.45056,-
Well Depth.Field Visits@43-72-11aaa,CBM-MON-7W (Stuart),All Locations.Ground Water.Gillette Area,2013-11-04 13:56:00,2021-11-17 17:00:00,-105.47917,-
Well Depth.Field Visits@37-70-10cbb,Bill #6,All Locations.Ground Water.Gillette Area,2013-11-04 13:05:59,2021-11-17 16:10:00,-105.258611,-
Well Depth.Field Visits@32-73-16cbd,Natural Bridge,All Locations.Ground Water.Gillette Area,2013-11-04 10:09:59,2021-10-29 13:25:00,-105.611667,-
Well Depth.Field Visits@24-68-32ddc,Platte County #9,All Locations.Ground Water.Platte County,2013-10-09 08:51:00,2021-11-08 09:05:00,-105.02667,-
Well Depth.Field Visits@36-62-28ab01,ETSI T-2 Madison,All Locations.Ground Water.Madison,2013-06-21 11:00:00,2021-11-09 12:05:00,-104.30775,-
Well Depth.Field Visits@32-63-08daa01,Niobrara Co. No.2,All Locations.Ground Water.Prairie Center Control Area,2013-06-17 15:59:59,2021-11-09 11:05:00,-104.437876,-
Well Depth.Field Visits@32-062-32bbb,Node well,All Locations.Ground Water.Prairie Center Control Area,2013-06-17 15:10:00,2021-11-09 10:40:00,-104.33919,-
Well Depth.Field Visits@32-62-5baa01,Niobrara Co. No. 1,All Locations.Ground Water.Prairie Center Control Area,2013-06-17 14:42:59,2021-11-09 10:15:00,-104.32864,-
Well Depth.Field Visits@30-061-09bbb,Prairie Center #5,All Locations.Ground Water.Prairie Center Control Area,2013-06-17 13:34:59,2021-11-09 09:45:00,-104.20306,-
Well Depth.Field Visits@29-061-17aad,Prairie Center #4,All Locations.Ground Water.Prairie Center Control Area,2013-06-17 13:24:00,2021-11-09 09:35:00,-104.20325,-
Well Depth.Field Visits@29-061-23abb,Goshen County No. 1,All Locations.Ground Water.Prairie Center Control Area,2013-06-17 12:49:59,2021-11-09 09:15:00,-104.151267,-
Well Depth.Field Visits@29-61-26cbb01,Prairie Center #3,All Locations.Ground Water.Prairie Center Control Area,2013-06-17 12:30:00,2021-11-09 09:10:00,-104.163805,-
Well Depth.Field Visits@28-61-02ccd01,Prairie Center #6,All Locations.Ground Water.Prairie Center Control Area,2013-06-17 12:04:00,2021-11-09 08:55:00,-104.163009,-
Well Depth.Field Visits@28-61-aba01,Goshen County #2,All Locations.Ground Water.Prairie Center Control Area,2013-06-17 11:19:59,2021-11-09 08:40:00,-104.22938,-
Well Depth.Field Visits@28-62-18cac,SandStone #1,All Locations.Ground Water.Madison,2013-06-17 10:25:59,2021-11-09 08:20:00,-104.35633,-
Well Depth.Field Visits@14-66-34acb,Fire Station No. 3,All Locations.Ground Water.Laramie County,2013-10-02 17:29:59,2021-11-04 12:00:00,-104.75833,-
Well Depth.Field Visits@13-65-10 ab 02,Shatto White River,All Locations.Ground Water.Laramie County,2016-05-19 10:00:00,2021-11-04 11:35:00,-104.64664,-
Well Depth.Field Visits@13-64-16cc,Laramie County No. 18,All Locations.Ground Water.Laramie County,2013-10-01 08:48:59,2021-11-04 11:21:00,-104.5605,-
Well Depth.Field Visits@14-61-18ddd,Laramie County No. 2,All Locations.Ground Water.Laramie County,2013-10-01 13:40:00,2021-11-03 11:55:00,-104.23667,-
Well Depth.Field Visits@13-60-05ccb,Elmer Glantz,All Locations.Ground Water.Laramie County,2014-04-30 11:58:00,2021-11-03 10:35:00,-104.12066,-
Well Depth.Field Visits@12-60-07ddd,Laramie County No. 1,All Locations.Ground Water.Laramie County,2013-10-01 11:42:00,2021-11-03 10:25:00,-104.124166666667,-
Well Depth.Field Visits@12-062-13baa,USGS SE Carpenter,All Locations.Ground Water.Laramie County,2013-10-01 10:54:59,2021-11-03 09:45:00,-104.2675,-
Well Depth.Field Visits@12-63-15aa,USGS SW Carpenter,All Locations.Ground Water.Laramie County,2013-10-01 10:09:59,2021-11-03 09:10:00,-104.40889,-
Well Depth.Field Visits@13-066-32bbd,Laramie County No. 14,All Locations.Ground Water.Laramie County,2014-04-30 08:04:59,2021-11-03 08:30:00,-104.80472,-
Well Depth.Field Visits@14-60-05bcb,CC Gross,All Locations.Ground Water.Laramie County,2013-10-01 12:56:00,2021-11-03 12:45:00,-104.1188889,-
Well Depth.Field Visits@16-60-32 dc 02,Fornstrom White River,All Locations.Ground Water.Laramie County,2016-06-01 11:45:00,2021-11-03 13:15:00,-104.10717,-
Well Depth.Field Visits@16-61-26 CD-03,Scheel WSW No. 1 White River,All Locations.Ground Water.Laramie County,2016-10-03 12:00:00,2021-11-03 13:40:00,-104.16969,-
Well Depth.Field Visits@16-61-17aaa,Laramie County No. 5,All Locations.Ground Water.Laramie County,2013-10-01 15:14:59,2021-11-03 13:55:00,-104.21472,-
Well Depth.Field Visits@16-60-7bbb2,USGS SW Albin,All Locations.Ground Water.Laramie County,2013-10-01 15:49:59,2021-11-03 14:15:00,-104.13722,-
Well Depth.Field Visits@17-060-33cbb,USGS South Albin,All Locations.Ground Water.Laramie County,2013-10-01 16:15:00,2021-11-03 14:35:00,-104.09194,-
Well Depth.Field Visits@17-62-17cc,Laramie Co. 6-B,All Locations.Ground Water.Laramie County,2013-10-01 17:03:00,2021-11-03 15:00:00,-104.34406,-
Well Depth.Field Visits@15-62-20aaa,Laramie County No. 4,All Locations.Ground Water.Laramie County,2014-04-30 14:35:00,2021-11-03 11:30:00,-104.32972,-
Well Depth.Field Visits@14-064-19bcc,Laramie County No. 9,All Locations.Ground Water.Laramie County,2014-04-30 17:19:59,2021-11-04 11:00:00,-104.59722,-
Well Depth.Field Visits@14-65-08bb,Laramie County No. 17,All Locations.Ground Water.Laramie County,2014-05-01 16:15:00,2021-11-04 10:15:00,-104.69217,-
Well Depth.Field Visits@14-66-02dc,Laramie County No. 16,All Locations.Ground Water.Laramie County,2014-05-01 14:49:59,2021-11-04 09:40:00,-104.73983,-
Well Depth.Field Visits@14-066-10aba,Laramie County No. 8,All Locations.Ground Water.Laramie County,2013-10-02 14:39:59,2021-11-04 09:25:00,-104.75556,-
Well Depth.Field Visits@14-067-12abb,Laramie County No. 10,All Locations.Ground Water.Laramie County,2013-10-02 12:49:59,2021-11-04 08:50:00,-104.83722,-
Well Depth.Field Visits@15-66-10bab,Laramie Co. No. 7,All Locations.Ground Water.Laramie County,2013-10-02 08:15:00,2021-11-03 15:30:00,-104.76278,-
Well Depth.Field Visits@17-67-33baa,MX NORTH b-1,All Locations.Ground Water.Laramie County,2013-10-02 09:01:00,2021-11-03 16:00:00,-104.89417,-
Well Depth.Field Visits@15-68-27ccc,MX West B7,All Locations.Ground Water.Laramie County,2013-10-02 10:03:59,2021-11-03 16:30:00,-105.002108,-
Well Depth.Field Visits@14-067-34bbc,Laramie County No. 11,All Locations.Ground Water.Laramie County,2013-10-02 10:45:59,2021-11-04 08:25:00,-104.88444,-
Well Depth.Field Visits@14-067-27bac,Laramie County No. 13,All Locations.Ground Water.Laramie County,2014-05-01 10:38:59,2021-11-04 08:30:00,-104.87972,-
Well Depth.Field Visits@16-63-15aaa,Laramie County #3,All Locations.Ground Water.Laramie County,2014-04-30 14:10:00,2021-11-03 11:05:00,-104.40694,-
Well Depth.Field Visits@20-61-32dbc,J. Ward,All Locations.Ground Water.Lagrange Area,2013-12-12 10:41:59,2021-11-22 11:20:00,-104.2173,-
Well Depth.Field Visits@20-61-31dad,Ward's Yard,All Locations.Ground Water.Lagrange Area,2013-12-12 10:45:59,2021-11-22 11:30:00,-104.22767,-
Well Depth.Field Visits@20-61-15ada,Southwell,All Locations.Ground Water.Lagrange Area,2014-01-08 09:23:00,2021-11-22 10:55:00,-104.17044,-
Well Depth.Field Visits@20-61-22aad,SE Corner of Reservoir,All Locations.Ground Water.Lagrange Area,2013-12-12 09:37:59,2021-11-22 10:45:00,-104.16874,-
Well Depth.Field Visits@20-60-30bbb,LaGrange No. 2,All Locations.Ground Water.Lagrange Area,2014-09-04 15:40:00,2021-11-22 10:10:00,-104.12917,-
Well Depth.Field Visits@20-60-29bac2,Hill Well,All Locations.Ground Water.Lagrange Area,2013-12-12 10:16:59,2021-11-22 10:30:00,-104.10496,-
Well Depth.Field Visits@19-61-13baa,LaGrange Haystack,All Locations.Ground Water.Lagrange Area,2013-12-12 11:06:59,2021-11-22 09:50:00,-104.14014,-
Well Depth.Field Visits@19-61-10aab,LaGrange No.1,All Locations.Ground Water.Lagrange Area,2013-11-14 13:02:59,2021-11-22 09:00:00,-104.17306,-
Well Depth.Field Visits@25-68-15bbd,Platte County #6,All Locations.Ground Water.Platte County,2013-11-13 12:04:59,2021-11-08 13:35:00,-105.00111,-
Well Depth.Field Visits@27-69-25abc,Cottonwood Creek #1,All Locations.Ground Water.Platte County,2013-10-09 14:25:00,2021-11-08 12:50:00,-105.18361,-
Well Depth.Field Visits@20-61-15-ada2,Northwell,All Locations.Ground Water.Lagrange Area,2013-09-27 09:07:00,2021-11-22 11:00:00,-104.17044,-
